param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,k,ID
0.0651,1.69711,0.56861,2.15411,1.48227,1.17734,0.73469,2.12446,2.01001,1.50851,1.12925,0.53038,0.13642,0.73814,0.03751,0.00094,2.20076,1.80941,0.06687,0.00542,115
0.22065,1.90758,0.08699,2.36226,1.21198,2.47088,0.74244,1.65486,2.31693,1.42496,1.14976,0.4704,0.00016,0.87698,0.05012,0.00441,1.96864,1.54111,0.00916,0.00611,116
0.35062,1.79378,0.06712,1.97466,1.40866,1.69551,0.74808,1.98253,1.68728,0.94237,1.29781,0.44098,0.00555,0.96205,0.04804,0.00509,2.03188,0.55831,0.00246,0.00815,117
0.06322,1.0863,0.12324,1.65064,0.83777,1.02351,0.4842,1.52487,1.72824,1.50816,1.06442,0.62252,0.19977,0.55775,0.00084,0.00045,1.49465,2.18567,0.13578,0.05361,118
0.35766,1.29349,0.02091,2.39791,1.24433,1.40312,0.15945,1.75097,1.69187,0.88921,1.33035,0.45629,0.11906,0.8354,0.02141,0.0,2.45006,1.34038,0.00209,0.04442,119
0.14338,1.16233,0.01413,1.65663,0.93725,1.27992,0.58884,0.68906,1.4025,1.33885,1.35498,0.46576,0.15074,0.7051,0.00015,1e-05,1.83384,2.19363,0.01099,0.0125,120
0.25113,1.67735,0.01154,1.53473,1.26393,1.78568,0.43748,2.19239,1.29322,1.48245,1.14011,0.60678,0.297,0.59902,0.02178,0.00119,1.42518,0.90679,0.1223,0.03727,121
0.1844,2.04649,0.00256,1.78268,1.07225,1.42251,1.88131,1.75075,2.44629,1.51401,1.14781,0.55524,0.08683,0.69928,0.00435,0.00111,1.2424,1.18264,0.05207,0.01786,122
0.34933,1.06744,0.01178,1.70077,1.00764,1.56262,0.0128,1.52085,1.24787,1.24642,1.07176,0.59635,0.12811,0.62168,0.00852,0.00373,1.79028,1.73911,0.09449,0.04817,123
0.08423,1.50601,0.00204,1.76841,1.35239,1.64756,0.39319,1.78445,1.35436,1.60087,1.1143,0.53142,0.06067,0.6946,0.0005,0.01748,1.84836,1.45248,0.00595,0.05091,124
0.39793,1.40523,0.00165,1.98969,1.27662,2.17491,0.46251,3.13726,2.15821,1.08998,1.75439,0.31415,0.11796,0.88647,0.00025,0.00118,1.86573,0.22416,0.00208,0.07722,125
0.3315,2.02122,0.00256,2.04008,1.00919,1.92133,1.38833,1.92984,1.97617,1.34108,1.38595,0.45793,0.05716,1.09285,0.12837,2e-05,0.73572,0.26113,0.09298,0.07794,126
0.1743,2.27125,0.00533,2.3969,1.92288,0.87048,1.31245,1.00053,1.53823,1.74929,1.03518,0.54319,0.0136,0.67644,0.00528,0.00097,2.33861,1.84587,0.02026,0.04754,127
